"Aspfo1","87.450641052130933","79.802153698403771"
"Aurli1","92.428010643435172","88.766613513978783"
"Neute1","84.277167259250902","79.044798101272136"
"Melen1","89.747871402889842","81.096457168676878"
"Fompi1","90.298486366097009","87.171354187720539"
"Hanva1_1","97.534416888976708","95.985948785832036"
"Exigl1","85.719793733396585","82.142510740375613"
"Calvi1","85.550814287127736","77.535587188612112"
"Lorju1","86.942385178467333","75.48353937926862"
"Gyman1","82.965575313945635","73.959756567241286"
"Linth1","85.319836344140612","78.54745154783167"
"Horac1","94.740752518019761","92.404650196331744"
"Crevar1","84.059445994523472","78.816002393395905"
"Jamsp1","90.549102228437107","81.72340017521617"
"Lenfl1","89.251224292297209","85.19521672697708"
"Felpe1","90.882881803219036","85.83703714339083"
"Spola1","92.185099457485535","79.620919926776949"
"Pilcr1","83.417179029564736","78.515773549291467"
"Gansp1","92.783402037964692","86.947692658408386"
"Asppip1","92.296469913079207","88.569654675189469"
"Anasp1","95.310631926648412","90.511078122228966"
"Dacsp1","88.833834309372151","85.615889703679642"
"Canca1","96.587261655983454","93.585991652020468"
"Leisp1","84.401323205096787","77.616461846241791"
"Patat1","86.072371564362413","79.104332079676837"
"Pirfi3","93.226676945271564","85.741963403943672"
"Picme2","96.976543524270113","94.681144754398645"
"Punst1","92.64032343456708","89.32116795937813"
"Lobtra1","87.945244433327971","77.693648816936474"
"Aspni1","95.681818181818173","91.688311688311686"
"Aspph1","93.035675211693857","88.290645500449799"
"Mucci2","96.286266307603157","92.024525346578386"
"Acain1","94.277071030964734","90.982424632391698"
"Cybja1","93.695729002180613","89.533816626089973"
"Rhihy1","85.608640125082118","75.347552510335504"
"Coclu2","91.498590442634665","86.183516471334968"
"Amath1","95.296328421302093","92.720631758269647"
"PirE2_1","87.357057177129136","82.938775510204081"
"Hesve1","89.734341122144428","85.157497901637541"
"Plecu1","92.846837858979313","88.478120308820891"
"Polar1","89.990985313021127","80.078394704984817"
"Neosp1","91.390580295684316","82.922507770037811"
"Morco1","88.530451771273817","82.262851429398381"
"Calco1","86.480550038703598","79.051465632142964"
"Diocr1","88.728056725454095","85.112719517969452"
"Neucr2","95.048067000453642","93.245288483646718"
"Conth1","84.626053589295338","78.302662656893418"
"Phlbr1","92.944065820836144","90.690770773949069"
"Aspsac1","89.762750827115639","83.456326533142303"
"Marpt1","88.739903069466877","81.147011308562199"
"Apimo1","92.099045739566492","86.624625838781071"
